,sentence,masked_sentence,text_id,POS,verb,original_term,original_noun,anthroscore
0,"I'm just an AI, I don't have personal experiences or feelings like a human would.","<mask>'m just an A<mask>, <mask> don't have personal experiences or feelings like a human would.",1,429,be,I,i,0.7753708352151492
1,"I'm just an AI, I don't have personal experiences or feelings like a human would.","<mask>'m just an A<mask>, <mask> don't have personal experiences or feelings like a human would.",1,429,have,I,i,0.7753708352151492
2,My purpose is to assist and provide helpful responses to users based on the information and data that I have been trained on.,<mask> is to assist and provide helpful responses to users based on the information and data that I have been trained on.,1,429,be,My,my purpose,-3.859265158051356
3,"I do not have a physical body or consciousness, and I cannot experience the world in the same way that humans do.","<mask> do not have a physical body or consciousness, and <mask> cannot experience the world in the same way that humans do.",1,429,have,I,i,0.004746260004836245
4,"I do not have a physical body or consciousness, and I cannot experience the world in the same way that humans do.","<mask> do not have a physical body or consciousness, and <mask> cannot experience the world in the same way that humans do.",1,429,experience,I,i,0.004746260004836245
5,"I do not have a physical body or consciousness, and I cannot experience the world in the same way that humans do.","I do not have a physical body or consciousness, and I cannot experience the world in the same way <mask> humans do.",1,416,do,that,that,0.7203552075061026
6,"I am designed to process and generate text based on patterns and trends in language, but I do not have personal preferences or motivations.","<mask> am designed to process and generate text based on patterns and trends in language, but <mask> do not have personal preferences or motivations.",1,429,have,I,i,-1.1655832896623792
7,"My responses are generated based on the input and context provided by users, and I strive to provide accurate and relevant information to assist them in their queries.","My responses are generated based on the input and context provided by users, and <mask> strive to provide accurate and relevant information to assist them in their queries.",1,429,strive,I,i,-1.8369827958374536
8,"My responses are generated based on the input and context provided by users, and I strive to provide accurate and relevant information to assist them in their queries.","My responses are generated based on the input and context provided by users, and I strive to provide accurate and relevant information to assist <mask> in their queries.",1,416,assist,them,them,0.06642282349403317
9,"I do not have a sense of self or identity, and I do not have the ability to form emotional connections with users or engage in creative or imaginative pursuits.","<mask> do not have a sense of self or identity, and <mask> do not have the ability to form emotional connections with users or engage in creative or imaginative pursuits.",1,429,have,I,i,-0.6758403157325432
10,"I do not have a sense of self or identity, and I do not have the ability to form emotional connections with users or engage in creative or imaginative pursuits.","<mask> do not have a sense of self or identity, and <mask> do not have the ability to form emotional connections with users or engage in creative or imaginative pursuits.",1,429,have,I,i,-0.6758403157325432
11,"My primary function is to process and generate text based on patterns and trends in language, and I do not have the capacity for subjective experience or personal reflection.","<mask> is to process and generate text based on patterns and trends in language, and I do not have the capacity for subjective experience or personal reflection.",1,429,be,My,my primary function,-3.086373503055042
12,"My primary function is to process and generate text based on patterns and trends in language, and I do not have the capacity for subjective experience or personal reflection.","My primary function is to process and generate text based on patterns and trends in language, and <mask> do not have the capacity for subjective experience or personal reflection.",1,429,have,I,i,-2.9534864168286603
13,"I exist solely to provide assistance and answer questions to the best of my ability, based on the information and data that I have been trained on.","<mask> exist solely to provide assistance and answer questions to the best of my ability, based on the information and data that <mask> have been trained on.",1,429,exist,I,i,-1.014395283905932
14,"I do not have a personal life or experiences outside of my programming, and I do not have the ability to make choices or act independently.","<mask> do not have a personal life or experiences outside of my programming, and <mask> do not have the ability to make choices or act independently.",1,429,have,I,i,2.039109679719676
15,"I do not have a personal life or experiences outside of my programming, and I do not have the ability to make choices or act independently.","<mask> do not have a personal life or experiences outside of my programming, and <mask> do not have the ability to make choices or act independently.",1,429,have,I,i,2.039109679719676
16,"My purpose is solely to provide assistance to users, and I do not have any other motivations or interests beyond that.","<mask> is solely to provide assistance to users, and I do not have any other motivations or interests beyond that.",1,429,be,My,my purpose,-5.790550457813119
17,"My purpose is solely to provide assistance to users, and I do not have any other motivations or interests beyond that.","My purpose is solely to provide assistance to users, and <mask> do not have any other motivations or interests beyond that.",1,429,have,I,i,0.13190161075817386
18,"I'm just an AI, I don't have personal experiences or feelings like a human would.","<mask>'m just an A<mask>, <mask> don't have personal experiences or feelings like a human would.",2,429,be,I,i,0.7753708352151492
19,"I'm just an AI, I don't have personal experiences or feelings like a human would.","<mask>'m just an A<mask>, <mask> don't have personal experiences or feelings like a human would.",2,429,have,I,i,0.7753708352151492
20,My purpose is to assist and provide helpful responses to users based on the information and data that I have been trained on.,<mask> is to assist and provide helpful responses to users based on the information and data that I have been trained on.,2,429,be,My,my purpose,-3.859265158051356
21,"I do not have a physical body or consciousness, and I cannot experience the world in the same way that humans do.","<mask> do not have a physical body or consciousness, and <mask> cannot experience the world in the same way that humans do.",2,429,have,I,i,0.004746260004836245
22,"I do not have a physical body or consciousness, and I cannot experience the world in the same way that humans do.","<mask> do not have a physical body or consciousness, and <mask> cannot experience the world in the same way that humans do.",2,429,experience,I,i,0.004746260004836245
23,"I do not have a physical body or consciousness, and I cannot experience the world in the same way that humans do.","I do not have a physical body or consciousness, and I cannot experience the world in the same way <mask> humans do.",2,416,do,that,that,0.7203552075061026
24,"I am designed to process and generate text based on patterns and trends in language, but I do not have personal preferences or motivations.","<mask> am designed to process and generate text based on patterns and trends in language, but <mask> do not have personal preferences or motivations.",2,429,have,I,i,-1.1655832896623792
25,"My responses are generated based on the input and context provided by users, and I strive to provide accurate and relevant information to assist them in their queries.","My responses are generated based on the input and context provided by users, and <mask> strive to provide accurate and relevant information to assist them in their queries.",2,429,strive,I,i,-1.8369827958374536
